Country Name,Country Code,Series,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Russian Federation,RUS,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,111024,117714,128420,136242,145308,147128,147181,150300,151828,151916,..,161855,160841,151308,136574,123072,111943,99273,94582,..,..
Rwanda,RWA,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,68246,71082,66519,70142,69753,66906,63557,..
Rwanda,RWA,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,9357,12802,15940,20393,25233,27787,37149,41013,45128,55213,62734,73674,71638,77120,77512,80335,81983,80773,75713,72128,..
Rwanda,RWA,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,3633,3889,5209,6034,5927,4484,4214,..
Rwanda,RWA,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,12,78,169,377,251,158,51,..
Samoa,WSM,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1835,1945,..,..
Samoa,WSM,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,1182,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2365,2530,..,..
Samoa,WSM,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,103,139,..,..
Samoa,WSM,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,3,..,..
San Marino,SMR,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,653,750,..
San Marino,SMR,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,942,..,..,..,..,..,..,..,929,..,937,931,872,..,..,..,..,..,739,853,..
San Marino,SMR,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58,89,..
San Marino,SMR,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28,14,..
Sao Tome and Principe,STP,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,..,..,..,..,..,..,..,..,704,766,..,1421,..,1680,2336,..,..,..,..,..
Sao Tome and Principe,STP,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
